repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,0,26047087.832061738,774388115.7210106,4444666.666666666,15,0,15,0.04137301445007324,0.017180204391479492,0,0.02419281005859375,"[86.0, 1.0, 254.0, -0.0, 62.0, -0.0]"
0,1,31283421.92228425,902113875.3270979,4958100.0,11,0,11,0.023217439651489258,0.01416921615600586,0,0.009048223495483398,"[100.0, -0.0, 234.0, -0.0, 68.0, -0.0]"
0,2,30854735.95156652,852663158.420006,4686999.999999999,16,0,16,0.03325247764587402,0.02005767822265625,0,0.013194799423217773,"[102.0, -0.0, 247.0, -0.0, 61.0, -0.0]"
0,3,31778768.829191282,862306139.4784925,4951333.333333333,11,0,11,0.023922204971313477,0.014842510223388672,0,0.009079694747924805,"[83.0, 12.0, 256.0, -0.0, 70.0, -0.0]"
0,4,33006522.664473403,1054534123.5248897,5191000.0,11,0,11,0.024702072143554688,0.015529870986938477,0,0.009172201156616211,"[90.0, 14.0, 251.0, -0.0, 73.0, 1.0]"
0,5,34156576.33073264,1103502982.6237466,5041999.999999999,7,0,7,0.015410184860229492,0.009507417678833008,0,0.005902767181396484,"[95.0, -0.0, 252.0, -0.0, 69.0, -0.0]"
0,6,32683277.264786474,975045894.7607516,5259666.666666666,8,0,8,0.015387773513793945,0.008959054946899414,0,0.006428718566894531,"[115.0, -0.0, 260.0, -0.0, 74.0, -0.0]"
0,7,33045526.57953956,1093081991.1031458,5424833.333333333,9,0,9,0.019345521926879883,0.012091398239135742,0,0.007254123687744141,"[149.0, 1.0, 249.0, -0.0, 73.0, -0.0]"
0,8,33251283.422663897,1027133271.7267444,4942399.999999999,8,0,8,0.017582178115844727,0.011101961135864258,0,0.006480216979980469,"[76.0, 24.0, 238.0, 2073.0, 70.0, -0.0]"
0,9,29969433.549330022,932378101.5750618,4812666.666666666,11,0,11,0.06360888481140137,0.04613804817199707,0,0.017470836639404297,"[107.0, -0.0, 249.0, 3461.0, 66.0, -0.0]"
0,10,29335473.39452561,939111542.9980748,4646166.666666666,10,0,10,0.08665704727172852,0.06649899482727051,0,0.020158052444458008,"[88.0, 4.0, 243.0, 3302.0, 64.0, -0.0]"
0,11,27080523.14145828,815509868.7995597,4502099.999999999,14,0,14,0.10564780235290527,0.08443737030029297,0,0.021210432052612305,"[70.0, 9.0, 251.0, 3260.0, 62.0, -0.0]"
0,12,28335724.44464225,1128219020.6772792,4237333.333333333,8,0,8,0.02189040184020996,0.015212535858154297,0,0.006677865982055664,"[97.0, -0.0, 223.0, 3975.0, 60.0, -0.0]"
0,13,23489222.542684548,785949081.7759306,3861533.3333333326,17,0,17,0.032776594161987305,0.018773794174194336,0,0.014002799987792969,"[65.0, 2.0, 226.0, 2659.0, 55.0, 18.0]"
