repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,0,26047087.832061738,26047087.832061715,26047087.832061715,41,41,0,0.5509755611419678,0.16824102401733398,0.3827345371246338,0,"[86.0, 1.0, 254.0, -0.0, 62.0, -0.0]"
0,1,31283421.92228425,31283421.92228425,31283421.92228425,40,40,0,0.4596843719482422,0.1132059097290039,0.3464784622192383,0,"[100.0, -0.0, 234.0, -0.0, 68.0, -0.0]"
0,2,30854735.95156652,30854735.951566502,30854735.9515665,47,47,0,0.6302816867828369,0.2492079734802246,0.3810737133026123,0,"[102.0, -0.0, 247.0, -0.0, 61.0, -0.0]"
0,3,31778768.829191282,31778768.829191267,31778768.829191275,49,49,0,0.66713547706604,0.24297046661376953,0.4241650104522705,0,"[83.0, 12.0, 256.0, -0.0, 70.0, -0.0]"
0,4,33006522.664473403,33006522.66447337,33006522.664473366,56,56,0,0.7516953945159912,0.2729222774505615,0.4787731170654297,0,"[90.0, 14.0, 251.0, -0.0, 73.0, 1.0]"
0,5,34156576.33073264,34156576.33073263,34156576.330732636,49,49,0,0.6334893703460693,0.20936870574951172,0.4241206645965576,0,"[95.0, -0.0, 252.0, -0.0, 69.0, -0.0]"
0,6,32683277.264786474,32683277.26478646,32683277.26478641,50,50,0,0.6652836799621582,0.23750543594360352,0.4277782440185547,0,"[115.0, -0.0, 260.0, -0.0, 74.0, -0.0]"
0,7,33045526.57953956,33045526.579539575,33045526.579539567,44,44,0,0.511239767074585,0.14655756950378418,0.3646821975708008,0,"[149.0, 1.0, 249.0, -0.0, 73.0, -0.0]"
0,8,33251283.422663897,33251283.42266393,33251283.422663927,60,60,0,0.8885281085968018,0.39032459259033203,0.4982035160064697,0,"[76.0, 24.0, 238.0, 2073.0, 70.0, -0.0]"
0,9,29969433.549330022,29969433.549329996,29969433.549329996,63,63,0,0.9240398406982422,0.393829345703125,0.5302104949951172,0,"[107.0, -0.0, 249.0, 3461.0, 66.0, -0.0]"
0,10,29335473.39452561,29335473.394525606,29335473.394525606,72,72,0,1.1539504528045654,0.5396456718444824,0.614304780960083,0,"[88.0, 4.0, 243.0, 3302.0, 64.0, -0.0]"
0,11,27080523.14145828,27080523.141458306,27080523.141458303,66,66,0,1.2236683368682861,0.6284573078155518,0.5952110290527344,0,"[70.0, 9.0, 251.0, 3260.0, 62.0, -0.0]"
0,12,28335724.44464225,28335724.44464224,28335724.44464224,68,68,0,1.185833215713501,0.4568169116973877,0.7290163040161133,0,"[97.0, -0.0, 223.0, 3975.0, 60.0, -0.0]"
0,13,23489222.542684548,23489222.54268455,23489222.54268455,69,69,0,1.4912097454071045,0.7036235332489014,0.7875862121582031,0,"[65.0, 2.0, 226.0, 2659.0, 55.0, 18.0]"
